material,E_Pa,rho_kg_m3,b_m,h_m,A_m2,I_m4,L_m,boundary_condition,mode,lambda_n,frequency_hz
Wood (spruce),10000000000.0,600,0.02,0.004,8e-05,1.0666666666666667e-10,1.0,Fixed–fixed,4,14.13716839,149.94732989750992
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),1,1.87510407,21.98281887803538
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),2,4.69409113,137.7639739497007
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),3,7.85475744,385.7431168256113
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Cantilever (fixed-free),4,10.99554073,755.9025526390177
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,1,3.141592653589793,61.70670747442175
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,2,6.283185307179586,246.826829897687
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,3,9.42477796076938,555.3603672697958
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Simply supported,4,12.566370614359172,987.307319590748
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,1,4.73004074,139.88217981606937
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,2,7.85320462,385.59061551067725
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,3,10.99560784,755.9117797932545
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.3,Fixed–fixed,4,14.13716839,1249.561082479249
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),1,1.87510407,7.913814796092737
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),2,4.69409113,49.59503062189226
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),3,7.85475744,138.86752205722007
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Cantilever (fixed-free),4,10.99554073,272.1249189500464
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,1,3.141592653589793,22.21441469079183
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,2,6.283185307179586,88.85765876316732
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,3,9.42477796076938,199.92973221712649
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Simply supported,4,12.566370614359172,355.4306350526693
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,1,4.73004074,50.357584733784975
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,2,7.85320462,138.8126215838438
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,3,10.99560784,272.12824072557163
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,0.5,Fixed–fixed,4,14.13716839,449.84198969252975
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),1,1.87510407,1.9784536990231842
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),2,4.69409113,12.398757655473066
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),3,7.85475744,34.71688051430502
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Cantilever (fixed-free),4,10.99554073,68.0312297375116
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,1,3.141592653589793,5.553603672697958
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,2,6.283185307179586,22.21441469079183
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,3,9.42477796076938,49.98243305428162
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Simply supported,4,12.566370614359172,88.85765876316732
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,1,4.73004074,12.589396183446244
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,2,7.85320462,34.70315539596095
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,3,10.99560784,68.03206018139291
Wood (spruce),10000000000.0,600,0.03,0.003,8.999999999999999e-05,6.75e-11,1.0,Fixed–fixed,4,14.13716839,112.46049742313244
